,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
301,Ben Gedeon\GedeBe00,MIN,24,llb,15,8,0,12,8,66.7%,85,10.6,7.1,0,87.2,5.7,24,61,5,0,0,0.0,0,53,3,5.4%
302,Grant Haley\HaleGr00,NYG,22,lolb,10,9,0,36,23,63.9%,298,13.0,8.3,4,126.9,6.2,113,185,15,2,0,0.0,2,33,1,2.9%
303,Cameron Heyward*\HeywCa01,PIT,29,DT,16,16,0,1,0,0.0%,0,,0.0,0,39.6,3.0,0,0,0,7,9,8.0,25,51,1,1.9%
304,Troy Hill\HillTr01,LAR,27,rcb,16,7,2,47,29,61.7%,458,15.8,9.7,4,104.7,13.1,340,118,0,0,0,0.0,0,34,4,10.5%
305,Matt Judon\JudoMa00,BAL,26,ROLB,16,8,0,14,6,42.9%,52,8.7,3.7,0,53.3,0.4,-10,62,70,18,10,7.0,36,44,7,13.7%
306,Christian Kirksey\KirkCh00,CLE,26,llb,7,7,2,42,31,73.8%,322,10.4,7.7,2,91.6,5.0,126,196,37,2,1,0.0,3,43,8,15.7%
307,Clay Matthews\MattCl99,GNB,32,LOLB,16,16,0,6,4,66.7%,88,22.0,14.7,0,109.7,2.3,17,71,63,10,7,3.5,21,43,7,14.0%
308,Von Miller*\MillVo00,DEN,29,ROLB,16,16,1,5,4,80.0%,43,10.8,8.6,1,102.5,2.2,16,27,88,12,7,14.5,35,48,6,11.1%
309,Montae Nicholson\NichMo00,WAS,23,ss,14,7,0,15,8,53.3%,82,10.3,5.5,1,91.5,6.9,15,67,8,0,0,0.0,0,41,7,14.6%
310,Kawann Short*\ShorKa00,CAR,29,LDT,14,14,0,0,0,,0,,,0,,,0,0,0,9,3,3.0,16,42,5,10.6%
311,Denico Autry\AutrDe00,IND,28,RDT,12,11,0,1,1,100.0%,12,12.0,12.0,0,116.7,-2.0,-2,14,0,7,2,9.0,18,37,3,7.5%
312,Marqui Christian\ChriMa00,LAR,24,,16,0,0,36,23,63.9%,307,13.3,8.5,0,90.9,9.9,181,126,10,0,1,0.0,1,36,4,10.0%
313,Ken Crawley\CrawKe02,NOR,25,lcb,10,5,0,47,33,70.2%,514,15.6,10.9,4,134.5,13.3,398,116,3,2,0,0.0,2,31,2,6.1%
314,Justin Houston\HousJu00,KAN,29,ROLB,12,12,1,10,7,70.0%,55,7.9,5.5,0,43.7,0.1,3,52,23,15,4,9.0,29,37,6,14.0%
315,Melvin Ingram*\IngrMe00,LAC,29,RDE,16,16,1,1,1,100.0%,5,5.0,5.0,0,47.9,-3.0,-3,8,20,16,7,7.0,31,43,5,10.4%
