,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
480,Earl Mitchell\MitcEa99,SFO,31,LDT,14,12,0,0,0,,0,,,0,,,0,0,0,2,3,0.0,5,28,2,6.7%
481,Derrick Nnadi\NnadDe00,KAN,22,NT,16,11,0,0,0,,0,,,0,,,0,0,0,3,0,0.0,3,35,3,7.9%
482,Brent Urban\UrbaBr00,BAL,27,RDE,16,16,0,0,0,,0,,,0,,,0,0,0,3,0,0.5,4,27,2,6.9%
483,Isaac Yiadom\YiadIs00,DEN,22,,13,1,1,34,20,58.8%,258,12.9,7.6,3,99.9,12.1,206,52,0,0,0,0.0,0,20,3,13.0%
484,Ray-Ray Armstrong\ArmsRa01,2TM,27,,15,1,0,13,11,84.6%,118,10.7,9.1,1,130.1,3.2,33,85,2,0,0,0.0,0,26,3,10.3%
485,Vic Beasley\BeasVi00,ATL,26,LDE,16,9,0,6,4,66.7%,30,7.5,5.0,0,78.5,0.2,-9,39,22,13,2,5.0,20,20,11,35.5%
486,Devante Bond\BondDe00,TAM,25,LLB,11,4,0,9,7,77.8%,121,17.3,13.4,0,118.7,4.9,38,83,8,1,1,0.0,2,22,1,4.3%
487,Bashaud Breeland\BreeBa00,GNB,26,rcb,7,5,2,33,17,51.5%,239,14.1,7.2,0,49.9,10.2,114,125,9,3,0,0.0,3,20,5,20.0%
488,Fadol Brown\BrowFa00,2TM,25,,12,0,0,0,0,,0,,,0,,,0,0,0,2,3,0.0,5,20,3,13.0%
489,Vontaze Burfict\BurfVo00,CIN,28,RLB,7,7,0,19,16,84.2%,140,8.8,7.4,1,114.9,4.3,54,86,13,0,0,0.0,0,33,10,23.3%
490,Ibraheim Campbell\CampIb00,3TM,26,,8,1,0,3,3,100.0%,20,6.7,6.7,0,94.4,5.7,17,3,1,0,0,0.0,0,19,0,0.0%
491,Bruce Carter\CartBr00,ATL,30,,11,0,0,6,4,66.7%,58,14.5,9.7,0,97.9,8.5,48,10,0,0,0,0.0,0,21,1,4.5%
492,Sean Chandler\ChanSe00,NYG,22,,16,0,0,10,8,80.0%,167,20.9,16.7,1,152.1,15.8,117,50,10,0,1,1.0,2,18,1,5.3%
493,Chuck Clark\ClarCh00,BAL,23,,16,2,1,15,11,73.3%,99,9.0,6.6,3,102.5,9.5,52,47,8,2,0,0.0,2,21,4,16.0%
494,P.J. Hall\HallP.00,OAK,23,ldt,14,6,0,2,2,100.0%,20,10.0,10.0,0,108.3,-3.0,-6,26,0,7,3,0.0,10,22,1,4.3%
495,Bruce Irvin\IrviBr00,2TM,31,,16,9,0,4,1,25.0%,2,2.0,0.5,0,39.6,-1.5,2,0,9,5,3,6.5,15,19,2,9.5%
496,Leon Jacobs\JacoLe00,JAX,23,,12,3,0,5,5,100.0%,30,6.0,6.0,1,131.2,2.8,14,16,1,0,0,0.0,0,21,2,8.7%
497,Akeem King\KingAk00,SEA,26,,16,1,0,15,11,73.3%,84,7.6,5.6,2,126.1,8.3,58,26,3,0,1,0.0,1,21,0,0.0%
498,Al-Quadin Muhammad\MuhaAl00,IND,23,,15,4,0,1,1,100.0%,8,8.0,8.0,0,100.0,-6.0,-6,14,0,3,2,0.0,5,28,0,0.0%
499,Mike Pennel\PennMi00,NYJ,27,RDE,16,7,0,2,1,50.0%,17,17.0,8.5,1,118.7,3.5,5,12,0,1,2,0.0,3,27,1,3.6%
500,Brooks Reed\ReedBr00,ATL,31,rde,16,8,0,3,2,66.7%,21,10.5,7.0,0,86.8,2.7,8,13,5,5,1,1.0,7,24,1,4.0%
501,Damion Square\SquaDa00,LAC,29,rde,16,11,0,1,0,0.0%,0,,0.0,0,39.6,1.0,0,0,0,0,3,3.0,7,31,2,6.1%
502,Jamar Taylor\TaylJa01,2TM,28,,14,3,0,31,22,71.0%,378,17.2,12.2,1,122.8,11.2,256,122,1,0,0,0.0,0,18,4,18.2%
503,Earl Thomas\ThomEa99,SEA,29,,4,4,3,9,3,33.3%,43,14.3,4.8,1,47.2,11.8,35,8,4,1,0,0.0,1,22,0,0.0%
504,Beau Allen\AlleBe00,TAM,27,RDT,14,8,0,0,0,,0,,,0,,,0,0,0,1,3,0.0,4,20,2,9.1%
505,Adrian Colbert\ColbAd00,SFO,25,FS,7,6,0,13,7,53.8%,143,20.4,11.0,2,132.4,21.8,128,15,2,0,0,0.0,0,21,4,16.0%
506,Vinny Curry\CurrVi00,TAM,30,lde,12,7,0,2,1,50.0%,9,9.0,4.5,0,62.5,1.5,0,9,0,3,3,2.5,9,21,1,4.5%
507,Kavon Frazier\FrazKa00,DAL,24,,16,2,0,16,12,75.0%,148,12.3,9.3,3,142.7,5.9,56,92,2,0,0,1.0,1,23,5,17.9%
508,Delano Hill\HillDe02,SEA,23,,13,2,0,13,5,38.5%,48,9.6,3.7,0,49.5,7.8,22,26,17,1,1,0.0,2,24,2,7.7%
509,Wes Horton\HortWe00,CAR,29,rde,16,8,0,1,1,100.0%,0,0.0,0.0,0,79.2,-1.0,-1,1,1,5,1,1.5,8,24,5,17.2%
510,Quinton Jefferson\JeffQu00,SEA,25,LDE,16,12,0,0,0,,0,,,0,,,0,0,0,9,10,3.0,23,25,4,13.8%
511,Mychal Kendricks\KendMy00,SEA,28,,4,3,0,9,7,77.8%,42,6.0,4.7,0,86.1,2.4,3,39,10,1,1,2.0,4,19,6,24.0%
512,Zach Kerr\KerrZa00,DEN,28,,16,0,0,0,0,,0,,,0,,,0,0,0,6,0,1.5,8,33,2,5.7%
513,Sean Lee\LeexSe99,DAL,32,rlb,7,5,0,14,11,78.6%,153,13.9,10.9,0,112.2,7.5,77,76,13,0,1,0.5,2,30,4,11.8%
514,Chris Long\LongCh99,PHI,33,,16,0,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,7,13,11,6.5,32,23,2,8.0%
515,Takkarist McKinley\McKiTa00,ATL,23,RDE,15,8,0,1,1,100.0%,17,17.0,17.0,0,118.7,-7.0,-7,24,1,10,7,7.0,25,22,2,8.3%
516,Nick Perry\PerrNi00,GNB,28,ROLB,9,9,0,3,3,100.0%,18,6.0,6.0,0,91.7,2.3,7,11,27,4,0,1.5,6,24,2,7.7%
517,Jordan Phillips\PhilJo01,2TM,26,,16,0,0,1,1,100.0%,9,9.0,9.0,0,104.2,0.0,0,9,0,3,0,1.0,4,24,4,14.3%
518,Deadrin Senat\SenaDe00,ATL,24,,15,2,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-1.0,-1,0,0,2,3,0.0,5,30,2,6.3%
519,LeShaun Sims\SimsLe00,TEN,25,,16,2,0,22,14,63.6%,146,10.4,6.6,1,97.9,8.2,80,66,8,0,1,0.0,1,22,3,12.0%
520,Breeland Speaks\SpeaBr00,KAN,23,,16,4,0,7,7,100.0%,77,11.0,11.0,0,112.5,-0.6,-4,81,21,7,4,1.5,13,24,3,11.1%
521,Vincent Taylor\TaylVi00,MIA,24,,8,0,0,2,2,100.0%,13,6.5,6.5,0,93.7,-2.0,-4,17,0,1,0,2.0,3,27,2,6.9%
522,Jordan Willis\WillJo09,CIN,23,,16,1,0,0,0,,0,,,0,,,0,0,0,4,4,1.0,9,20,4,16.7%
523,Deatrich Wise Jr.\WiseDe00,NWE,24,,16,5,0,0,0,,0,,,0,,,0,0,0,5,5,4.5,15,30,6,16.7%
524,Antwaun Woods\WoodAn02,DAL,25,RDT,15,15,0,0,0,,0,,,0,,,0,0,0,7,3,1.5,12,34,4,10.5%
525,K.J. Wright\WrigK.00,SEA,29,RLB,5,5,0,19,12,63.2%,131,10.9,6.9,1,101.0,3.1,51,80,4,1,0,0.0,1,23,4,14.8%
526,Ricardo Allen\AlleRi00,ATL,27,,3,3,1,19,6,31.6%,82,13.7,4.3,0,24.5,11.1,39,43,0,0,0,0.0,0,17,2,10.5%
527,Jason Cabinda\CabiJa00,OAK,22,,10,3,0,6,4,66.7%,50,12.5,8.3,0,92.4,11.3,24,26,5,1,1,0.0,2,21,1,4.5%
528,Keion Crossen\CrosKe00,NWE,22,,11,0,0,8,7,87.5%,97,13.9,12.1,0,117.2,14.0,89,8,0,0,0,0.0,0,14,0,0.0%
529,Zaire Franklin\FranZa00,IND,22,,16,2,0,15,13,86.7%,148,11.4,9.9,0,107.8,6.1,64,84,10,0,0,0.0,0,29,2,6.5%
530,Nathan Gerry\GerrNa00,PHI,23,,13,2,1,12,10,83.3%,97,9.7,8.1,1,93.4,5.2,50,47,2,0,0,0.0,0,23,2,8.0%
531,George Iloka\IlokGe00,MIN,28,,16,3,0,4,2,50.0%,46,23.0,11.5,0,91.7,18.0,38,8,0,0,0,0.0,0,16,0,0.0%
532,Derrick Johnson\JohnDe25,OAK,36,,6,1,0,6,5,83.3%,44,8.8,7.3,0,97.2,6.2,37,7,3,1,0,0.0,1,17,3,15.0%
533,Kevin King\KingKe01,GNB,23,RCB,6,6,1,24,13,54.2%,143,11.0,6.0,3,94.3,12.0,94,49,1,0,0,0.0,0,17,3,15.0%
534,Trent Murphy\MurpTr00,BUF,28,LDE,13,10,0,6,5,83.3%,13,2.6,2.2,0,79.2,-0.5,-6,19,1,8,4,4.0,17,24,7,22.6%
535,Julius Peppers\PeppJu99,CAR,38,RDE,16,8,0,2,1,50.0%,18,18.0,9.0,0,81.2,8.5,6,12,0,6,4,5.0,15,22,1,4.3%
536,Chris Smith\SmitCh03,CLE,26,,16,2,0,0,0,,0,,,0,,,0,0,6,4,1,1.0,6,21,4,16.0%
537,Daniel Sorensen\SoreDa01,KAN,28,,7,3,1,18,10,55.6%,121,12.1,6.7,3,92.8,9.3,81,40,13,1,1,0.0,2,26,3,10.3%
538,Kevin Toliver\ToliKe00,CHI,23,,15,1,0,18,12,66.7%,128,10.7,7.1,0,87.3,12.6,115,13,0,0,0,0.0,0,16,0,0.0%
539,Taven Bryan\BryaTa00,JAX,22,,16,1,0,1,1,100.0%,9,9.0,9.0,0,104.2,1.0,1,8,0,2,1,1.0,4,20,1,4.8%
540,Jonathan Bullard\BullJo00,CHI,25,,16,1,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,18,2,10.0%
541,Taco Charlton\CharTa00,DAL,24,rde,11,7,0,1,0,0.0%,0,,0.0,0,39.6,6.0,0,0,0,7,2,1.0,10,27,3,10.0%
542,Dylan Cole\ColeDy00,HOU,24,,8,0,0,9,8,88.9%,74,9.3,8.2,1,138.0,2.7,20,54,5,0,0,0.0,0,13,5,27.8%
543,Brandon Dunn\DunnBr00,HOU,26,NT,14,10,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,24,2,7.7%
544,Poona Ford\FordPo00,SEA,23,,11,1,0,1,0,0.0%,0,,0.0,0,39.6,-2.0,0,0,0,5,2,0.0,7,21,0,0.0%
545,Rayshawn Jenkins\JenkRa00,LAC,24,,15,1,0,9,6,66.7%,32,5.3,3.6,1,109.5,4.9,10,22,4,0,1,0.5,2,23,0,0.0%
546,Austin Johnson\JohnAu01,TEN,24,NT,16,9,0,0,0,,0,,,0,,,0,0,0,2,0,1.0,3,22,1,4.3%
547,Joseph Jones\JoneJo05,DEN,24,,16,0,0,1,1,100.0%,2,2.0,2.0,0,79.2,2.0,2,0,0,0,0,0.0,0,16,0,0.0%
548,Aaron Lynch\LyncAa00,CHI,25,,13,3,1,4,3,75.0%,40,13.3,10.0,1,106.2,6.0,16,24,9,4,3,3.0,10,16,2,11.1%
549,Hayes Pullard\PullHa00,LAC,26,,9,0,0,8,7,87.5%,42,6.0,5.3,0,88.5,3.8,24,18,2,0,0,0.0,0,18,0,0.0%
550,DeShawn Shead\SheaDe00,DET,29,,12,1,0,19,15,78.9%,290,19.3,15.3,2,153.8,16.4,216,74,1,0,0,0.0,0,18,3,14.3%
551,Terrance Smith\SmitTe04,KAN,25,,7,0,0,23,15,65.2%,166,11.1,7.2,0,86.5,5.7,52,114,13,1,0,1.0,2,22,4,15.4%
552,Julian Stanford\StanJu00,BUF,28,,13,1,0,7,6,85.7%,68,11.3,9.7,0,107.1,7.4,48,20,5,0,0,1.0,1,15,1,6.3%
553,Chris Wormley\WormCh00,BAL,25,NT,16,6,0,0,0,,0,,,0,,,0,0,0,6,1,1.0,8,16,3,15.8%
554,Tyson Alualu\AluaTy99,PIT,31,,15,2,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,22,1,4.3%
555,De'Vante Bausby\BausDe00,PHI,25,,6,1,0,13,11,84.6%,203,18.5,15.6,1,144.4,12.5,114,89,0,0,0,0.0,0,14,4,22.2%
556,Anthony Chickillo\ChicAn00,PIT,26,,16,0,0,7,4,57.1%,32,8.0,4.6,0,68.7,2.3,5,27,21,2,1,1.5,5,24,0,0.0%
557,Maliek Collins\CollMa00,DAL,23,LDT,13,9,0,0,0,,0,,,0,,,0,0,0,6,4,3.0,13,19,3,13.6%
558,Kamalei Correa\CorrKa00,TEN,24,,13,4,0,5,5,100.0%,53,10.6,10.6,0,110.8,0.6,3,50,11,1,1,3.5,6,19,4,17.4%
559,Marcus Davenport\DaveMa00,NOR,22,,13,0,0,1,1,100.0%,4,4.0,4.0,0,83.3,-3.0,-3,7,1,3,9,4.5,17,22,1,4.3%
560,Mario Edwards\EdwaMa01,NYG,24,,15,0,0,0,0,,0,,,0,,,0,0,0,1,3,2.0,7,14,0,0.0%
561,Rashaan Gaulden\GaulRa00,CAR,23,,15,0,0,3,1,33.3%,8,8.0,2.7,1,81.9,6.7,2,6,0,0,0,0.0,0,17,3,15.0%
562,Nick Kwiatkoski\KwiaNi00,CHI,25,,16,1,0,7,5,71.4%,60,12.0,8.6,0,97.3,4.4,26,34,6,0,1,0.0,1,15,0,0.0%
563,Ryan Lewis\LewiRy01,BUF,24,,7,3,0,19,13,68.4%,164,12.6,8.6,0,95.1,10.7,100,64,1,0,0,0.0,0,15,3,16.7%
564,Kyle Love\LoveKy00,CAR,32,,16,2,0,0,0,,0,,,0,,,0,0,0,4,2,1.5,8,19,3,13.6%
565,Greg Mabin\MabiGr00,SFO,24,,13,1,0,18,10,55.6%,160,16.0,8.9,2,122.5,14.2,146,14,0,0,0,0.0,0,16,2,11.1%
566,Tyler Matakevich\MataTy00,PIT,26,,16,1,0,4,4,100.0%,37,9.3,9.3,0,105.2,7.8,31,6,1,0,0,0.0,0,16,0,0.0%
567,Tyler Patmon\PatmTy00,JAX,27,,12,2,0,15,12,80.0%,136,11.3,9.1,0,104.4,9.2,89,47,9,4,0,0.0,4,14,0,0.0%
568,Brennan Scarlett\ScarBr00,HOU,25,,12,3,1,7,5,71.4%,34,6.8,4.9,0,42.3,4.9,17,17,6,0,2,0.0,2,18,1,5.3%
569,Tre Sullivan\SullTr01,PHI,24,,12,1,0,12,7,58.3%,49,7.0,4.1,0,67.7,9.3,10,39,0,0,0,0.0,0,17,3,15.0%
570,Manti Te'o\TeoxMa00,NOR,27,,5,2,0,11,6,54.5%,32,5.3,2.9,0,60.0,3.5,11,21,6,0,0,0.0,0,18,1,5.3%
571,Kyzir White\WhitKy00,LAC,22,,3,3,1,16,8,50.0%,97,12.1,6.1,1,63.8,6.9,39,58,0,0,0,0.0,0,17,2,10.5%
572,Montravius Adams\AdamMo00,GNB,23,,16,1,0,0,0,,0,,,0,,,0,0,0,0,0,1.5,2,20,0,0.0%
573,Derek Barnett\BarnDe01,PHI,22,lde,6,6,0,0,0,,0,,,0,,,0,0,1,3,5,2.5,11,16,1,5.9%
574,Su'a Cravens\CravSu00,DEN,23,,5,0,0,9,9,100.0%,125,13.9,13.9,0,118.7,9.3,84,41,5,0,1,0.0,1,18,0,0.0%
575,Matthias Farley\FarlMa00,IND,26,,5,1,1,15,10,66.7%,158,15.8,10.5,1,96.0,9.9,116,42,2,0,0,0.0,0,19,3,13.6%
576,E.J. Gaines\GainE.00,CLE,26,,6,2,1,20,8,40.0%,127,15.9,6.4,0,41.0,11.3,85,42,2,0,0,0.0,0,13,4,23.5%
577,Kemal Ishmael\IshmKe00,ATL,27,,16,0,0,3,3,100.0%,36,12.0,12.0,0,116.7,6.0,18,18,0,0,0,0.0,0,21,0,0.0%
578,D.J. Jones\JoneD.01,SFO,23,,10,4,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,17,2,10.5%
579,Emmanuel Lamur\LamuEm00,2TM,29,,10,4,0,2,1,50.0%,8,8.0,4.0,0,60.4,28.0,3,5,3,0,0,0.0,0,13,2,13.3%
580,Haloti Ngata\NgatHa20,PHI,34,LDT,13,9,0,1,0,0.0%,0,,0.0,0,39.6,-6.0,0,0,0,1,2,1.0,4,17,1,5.6%
581,Vincent Rey\ReyxVi00,CIN,31,,16,2,0,5,3,60.0%,31,10.3,6.2,0,77.9,3.2,-3,34,7,0,0,0.0,0,19,0,0.0%
582,Craig Robertson\RobeCr00,NOR,30,,16,0,0,3,2,66.7%,21,10.5,7.0,0,86.8,4.7,12,9,6,0,0,1.0,1,14,0,0.0%
583,Shamar Stephen\StepSh00,SEA,27,RDT,15,14,0,1,1,100.0%,2,2.0,2.0,0,79.2,2.0,2,0,0,1,1,2.0,4,25,2,7.4%
584,Kemoko Turay\TuraKe00,IND,23,,14,3,0,1,1,100.0%,11,11.0,11.0,0,112.5,7.0,7,4,1,8,6,4.0,19,15,1,6.3%
585,Chris Conte\ContCh00,TAM,29,,3,3,0,6,4,66.7%,47,11.8,7.8,0,90.3,10.5,39,8,0,0,0,0.0,0,14,0,0.0%
586,Dane Cruikshank\CruiDa00,TEN,23,,12,0,0,2,2,100.0%,3,1.5,1.5,0,79.2,-2.5,-5,8,0,0,0,0.0,0,11,1,8.3%
587,Mike Daniels\DaniMi00,GNB,29,RDE,10,9,0,0,0,,0,,,0,,,0,0,0,11,1,2.0,14,18,2,10.0%
588,Nick DeLuca\DeLuNi00,JAX,23,,9,2,0,4,3,75.0%,19,6.3,4.8,1,124.0,2.3,8,11,8,1,0,1.0,2,12,1,7.7%
589,Bryce Hager\HageBr00,LAR,26,,16,0,0,5,3,60.0%,12,4.0,2.4,0,64.6,1.4,0,12,4,0,0,0.0,0,14,0,0.0%
590,Tre Herndon\HernTr00,JAX,22,,11,0,0,8,6,75.0%,73,12.2,9.1,1,142.2,8.0,51,22,1,0,0,0.0,0,13,1,7.1%
591,Jourdan Lewis\LewiJo01,DAL,23,,15,1,1,19,13,68.4%,96,7.4,5.1,0,58.2,6.1,30,66,8,1,0,0.0,1,12,1,7.7%
592,Star Lotulelei\LotuSt00,BUF,29,RDT,16,16,0,0,0,,0,,,0,,,0,0,0,3,0,0.0,3,17,0,0.0%
593,Rontez Miles\MileRo00,NYJ,30,,8,1,0,1,1,100.0%,8,8.0,8.0,0,100.0,6.0,6,2,0,0,0,0.0,0,11,0,0.0%
594,Siran Neal\NealSi00,BUF,24,,16,0,0,0,0,,0,,,0,,,0,0,1,0,0,1.0,1,11,0,0.0%
595,Nick Nelson\NelsNi00,OAK,22,,10,3,0,30,18,60.0%,307,17.1,10.2,4,134.3,13.6,177,130,6,0,0,0.0,0,20,3,13.0%
596,Roy Robertson-Harris\RobeRo00,CHI,25,,16,0,0,0,0,,0,,,0,,,0,0,0,7,5,3.0,16,22,1,4.3%
597,Josh Shaw\ShawJo00,2TM,26,,8,0,0,7,6,85.7%,79,13.2,11.3,0,113.7,10.3,62,17,0,0,0,0.0,0,12,1,7.7%
598,Danny Shelton\ShelDa01,NWE,25,,13,1,0,1,0,0.0%,0,,0.0,0,39.6,0.0,0,0,0,1,1,0.0,2,21,0,0.0%
599,Nathan Stupar\StupNa01,NYG,30,,16,1,0,5,4,80.0%,22,5.5,4.4,1,124.6,1.6,3,19,1,0,0,0.0,0,14,1,6.7%
600,Kyle Wilber\WilbKy00,OAK,29,,14,0,0,2,1,50.0%,9,9.0,4.5,0,62.5,4.0,3,6,1,3,0,0.0,3,15,2,11.8%
601,Brandon Williams\WillBr07,ARI,26,,16,0,0,7,4,57.1%,80,20.0,11.4,1,136.9,13.4,47,33,0,0,0,0.0,0,10,2,16.7%
602,Al Woods\WoodAl99,IND,31,LDT,14,8,0,0,0,,0,,,0,,,0,0,0,7,2,0.0,9,24,1,4.0%
603,Ja'Whaun Bentley\BentJa00,NWE,22,,3,2,1,8,6,75.0%,56,9.3,7.0,0,54.2,5.9,12,44,14,0,1,0.0,1,14,1,6.7%
604,Terrence Brooks\BrooTe00,NYJ,26,,16,0,0,3,0,0.0%,0,,0.0,0,39.6,25.0,0,0,1,0,0,0.0,0,10,2,16.7%
605,Riley Bullough\BullRi00,TAM,25,,9,3,0,5,2,40.0%,24,12.0,4.8,0,55.4,9.6,6,18,0,0,0,0.0,0,14,0,0.0%
606,Adrian Clayborn\ClayAd00,NWE,30,,14,1,0,0,0,,0,,,0,,,0,0,1,8,8,2.5,19,11,3,21.4%
607,William Compton\CompWi00,TEN,29,,12,2,0,3,1,33.3%,7,7.0,2.3,0,42.4,5.7,3,4,5,0,0,0.0,0,16,0,0.0%
608,Sheldon Day\DayxSh00,SFO,24,,12,0,0,0,0,,0,,,0,,,0,0,0,9,1,2.0,12,11,1,8.3%
609,De'Vante Harris\HarrDe04,TAM,25,,10,1,0,11,6,54.5%,73,12.2,6.6,0,75.2,11.5,39,34,0,0,0,0.0,0,10,2,16.7%
610,Ramon Humber\HumbRa00,2TM,31,,15,0,0,6,5,83.3%,45,9.0,7.5,0,97.9,-0.8,2,43,4,0,0,0.0,0,9,1,10.0%
611,Joel Iyiegbuniwe\IyieJo00,CHI,23,,16,0,0,4,3,75.0%,24,8.0,6.0,0,89.6,2.0,-5,29,4,0,0,0.0,0,9,0,0.0%
612,Branden Jackson\JackBr04,SEA,26,,9,1,0,1,1,100.0%,-6,-6.0,-6.0,0,79.2,-6.0,-6,0,0,4,0,1.0,5,10,2,16.7%
613,Danny Johnson\JohnDa09,WAS,23,,14,1,0,14,12,85.7%,150,12.5,10.7,2,150.9,9.2,74,76,0,0,0,0.0,0,14,2,12.5%
614,Adam Jones\JonePa20,DEN,35,,7,2,1,20,11,55.0%,122,11.1,6.1,1,69.2,8.2,42,80,0,0,0,0.0,0,9,4,30.8%
615,Tyquan Lewis\LewiTy00,IND,23,lde,8,6,0,1,1,100.0%,12,12.0,12.0,0,116.7,9.0,9,3,0,5,4,2.0,11,13,0,0.0%
616,Corey Liuget\LiugCo00,LAC,28,,6,3,0,0,0,,0,,,0,,,0,0,0,2,3,1.5,7,14,0,0.0%
617,Terrell McClain\McClTe00,ATL,30,ldt,13,5,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,17,2,10.5%
618,Dontari Poe\PoexDo00,CAR,28,RDT,16,16,0,0,0,,0,,,0,,,0,0,0,2,1,1.0,4,17,2,10.5%
619,Eric Rowe\RoweEr00,NWE,26,,4,2,0,12,6,50.0%,106,17.7,8.8,2,120.1,13.3,79,27,3,1,0,0.0,1,10,0,0.0%
620,KeiVarae Russell\RussKe00,CIN,25,,7,1,0,15,11,73.3%,136,12.4,9.1,1,123.2,8.5,83,53,0,0,0,0.0,0,12,2,14.3%
621,Walt Aikens\AikeWa00,MIA,27,,16,1,1,4,2,50.0%,49,24.5,12.3,1,94.8,22.8,34,15,0,0,0,0.0,0,11,1,8.3%
622,Cornell Armstrong\ArmsCo00,MIA,23,,15,0,0,8,6,75.0%,57,9.5,7.1,1,133.9,7.0,56,1,0,0,0,0.0,0,8,0,0.0%
623,Dorance Armstrong Jr.\ArmsDo00,DAL,21,,15,1,0,0,0,,0,,,0,,,0,0,0,4,2,0.5,7,13,1,7.1%
624,Chris Banjo\BanjCh00,NOR,28,,16,0,2,5,2,40.0%,70,35.0,14.0,1,87.5,24.6,48,22,2,0,0,0.0,0,10,1,9.1%
625,Daren Bates\BateDa00,TEN,28,,16,0,0,4,4,100.0%,54,13.5,13.5,0,118.7,9.3,37,17,2,0,0,0.0,0,10,0,0.0%
626,Eric Berry\BerrEr99,KAN,30,,2,2,0,5,4,80.0%,78,19.5,15.6,0,118.7,15.0,73,5,2,1,0,0.0,1,11,1,8.3%
627,Chris Board\BoarCh00,BAL,23,,16,0,0,0,0,,0,,,0,,,0,0,3,0,0,0.0,0,12,0,0.0%
628,Deon Bush\BushDe00,CHI,25,,15,2,0,7,3,42.9%,32,10.7,4.6,0,56.8,6.9,27,5,0,0,0,1.0,1,8,0,0.0%
629,Adam Butler\ButlAd00,NWE,24,,16,0,0,2,1,50.0%,-3,-3.0,-1.5,0,56.2,-2.5,-4,1,2,5,2,3.0,10,17,0,0.0%
630,Christian Covington\CoviCh00,HOU,25,,12,2,0,2,1,50.0%,1,1.0,0.5,0,56.2,0.5,3,-2,0,3,3,3.5,10,15,0,0.0%
631,Tyeler Davison\DaviTy01,NOR,26,RDT,14,12,0,1,1,100.0%,12,12.0,12.0,0,116.7,7.0,7,5,0,2,1,2.0,5,23,0,0.0%
632,Shaquem Griffin\GrifSh01,SEA,23,,16,1,0,5,4,80.0%,81,20.3,16.2,1,158.3,4.8,8,73,0,0,0,0.0,0,11,1,8.3%
633,Eli Harold\HaroEl00,DET,24,,13,0,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,22,0,1,4.0,5,10,0,0.0%
634,Charles Harris\HarrCh03,MIA,23,,11,1,0,1,1,100.0%,-4,-4.0,-4.0,0,79.2,-6.0,-6,2,0,8,3,1.0,12,19,2,9.5%
635,Treyvon Hester\HestTr00,PHI,26,,12,1,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,13,2,13.3%
636,DeAndre Houston-Carson\HousDe00,CHI,25,,13,0,0,3,2,66.7%,18,9.0,6.0,0,82.6,4.7,11,7,2,0,1,0.0,1,10,0,0.0%
637,Natrell Jamerson\JameNa00,2TM,23,,12,0,0,8,5,62.5%,121,24.2,15.1,0,106.2,16.6,86,35,0,0,0,0.0,0,10,3,23.1%
638,Leonard Johnson\JohnLe03,ARI,28,,6,1,0,11,11,100.0%,133,12.1,12.1,0,117.0,7.6,84,49,6,1,0,0.0,1,10,2,16.7%
639,Colin Jones\JoneCo01,CAR,31,,16,1,1,6,5,83.3%,68,13.6,11.3,2,113.9,13.3,62,6,1,0,0,0.0,0,20,1,4.8%
640,Matt Longacre\LongMa00,LAR,27,LOLB,13,7,0,0,0,,0,,,0,,,0,0,28,4,3,1.0,8,17,3,15.0%
641,Jacob Martin\MartJa02,SEA,23,,16,0,0,1,1,100.0%,23,23.0,23.0,0,118.7,16.0,16,7,0,5,5,3.0,13,10,1,9.1%
642,David Mayo\MayoDa00,CAR,25,,16,3,0,7,6,85.7%,96,16.0,13.7,0,118.7,6.1,42,54,7,2,0,0.0,2,14,5,26.3%
643,Pernell McPhee\McPhPe00,WAS,30,,13,0,0,2,2,100.0%,6,3.0,3.0,0,79.2,-2.5,-5,11,7,4,3,0.0,7,11,2,15.4%
644,Kevin Minter\MintKe00,TAM,28,,5,0,0,2,1,50.0%,11,11.0,5.5,0,66.7,5.0,5,6,1,0,0,1.0,1,10,1,9.1%
645,Zach Moore\MoorZa00,ARI,28,,16,1,0,2,2,100.0%,27,13.5,13.5,0,118.7,1.5,3,24,1,1,1,3.5,6,14,2,12.5%
646,Lafayette Pitts\PittLa00,BUF,26,,16,0,0,5,3,60.0%,31,10.3,6.2,0,77.9,11.6,2,29,0,0,0,0.0,0,9,1,10.0%
